Date,pm25_median,pm10_median,no2_median,so2_median,co_median,o3_median,temperature_median,humidity_median,wind-speed_median,AQI,Category
2023-01-13,17.65,22.39,23.28,39.48,0.11,35.56,24.9,60.8,10.87,49.4,Good
2023-08-07,17.68,35.21,36.89,37.72,0.81,17.79,23.1,51.8,7.84,47.1,Good
2023-04-22,35.58,73.0,72.82,57.71,1.65,92.87,29.9,64.7,8.54,93.0,Satisfactory
2022-06-25,135.06,390.89,349.52,1443.93,22.75,524.12,17.2,81.2,2.47,380.7,Very Poor
2022-02-02,82.78,184.44,142.09,216.9,8.42,124.9,30.4,51.2,3.86,180.4,Moderate
2022-05-10,25.88,31.32,32.2,23.84,0.45,30.25,27.3,40.0,9.42,43.1,Good
2021-01-23,109.93,320.54,238.95,533.11,15.29,180.77,14.5,54.4,3.45,275.8,Poor
2021-06-06,178.58,399.52,330.76,1521.67,20.26,365.68,9.5,71.0,1.99,390.3,Very Poor
2021-06-22,93.88,250.93,269.01,483.35,10.66,185.17,36.9,49.0,1.67,289.1,Poor
2021-11-18,89.52,148.87,173.58,332.94,5.05,124.85,18.0,38.1,3.51,198.4,Moderate
2023-07-05,18.27,45.38,28.61,32.37,0.42,42.04,25.2,44.3,9.59,45.4,Good
2023-09-21,192.31,377.77,288.14,1396.4,20.13,440.72,13.4,70.1,2.24,374.8,Very Poor
2021-11-25,116.39,336.16,271.3,788.44,11.51,153.35,39.0,46.1,1.45,297.3,Poor
2022-07-15,238.0,405.48,299.46,1244.45,18.2,484.55,26.5,50.6,2.43,390.8,Very Poor
2021-08-13,213.17,399.07,358.12,1413.45,25.04,232.17,30.8,75.7,0.94,376.9,Very Poor
2021-05-05,94.26,306.39,210.67,453.37,11.26,195.43,17.3,70.3,4.03,268.8,Poor
2021-09-28,397.24,693.58,460.08,1779.64,38.3,841.17,29.7,84.1,0.61,500.0,Severe
2024-12-09,65.11,155.53,98.1,159.69,3.16,97.56,15.8,64.7,5.29,137.6,Moderate
2024-03-17,105.32,310.42,190.51,728.21,11.63,192.33,26.6,78.1,1.12,283.0,Poor
2024-09-16,86.53,171.05,152.01,304.28,9.01,93.4,30.2,54.4,4.65,188.5,Moderate
2021-01-08,382.9,508.25,413.58,1846.86,41.05,733.71,17.4,92.1,0.92,462.0,Severe
2024-08-26,119.77,307.13,246.19,705.29,10.85,213.07,31.8,44.4,2.17,301.9,Poor
2024-03-25,308.8,483.09,503.42,1801.76,43.85,865.0,19.4,58.3,0.66,461.9,Severe
2024-04-18,48.98,91.66,40.34,50.9,1.41,100.22,26.1,49.8,2.92,101.2,Satisfactory
2021-01-05,9.45,23.9,10.1,29.38,0.4,31.6,12.0,69.9,4.26,36.7,Good
2022-09-29,26.13,44.39,4.41,17.41,0.84,43.69,30.7,64.9,9.05,44.4,Good
2022-09-08,23.53,45.55,29.11,22.46,0.15,20.05,23.3,30.3,11.75,45.6,Good
2023-09-28,150.41,399.22,296.12,1239.38,20.33,389.11,14.7,64.4,2.24,361.9,Very Poor
2021-09-10,115.05,304.73,189.44,654.65,14.22,175.45,20.4,59.7,3.33,283.6,Poor
2023-08-29,12.55,29.3,32.86,16.89,0.24,41.47,31.7,55.7,10.63,41.5,Good
2021-08-14,81.82,227.25,92.6,109.83,9.77,130.95,29.7,61.2,2.58,197.1,Moderate
2022-08-19,6.16,36.09,3.1,4.4,0.39,39.23,28.9,32.5,10.5,39.2,Good
2023-06-14,88.12,199.68,171.73,357.51,5.21,177.47,41.9,52.9,2.16,224.2,Moderate
2022-08-20,54.12,79.68,68.87,50.06,1.1,85.63,29.3,51.2,6.18,90.4,Satisfactory
