Feature,Importance
pm10_median,0.46949246711773945
pm25_median,0.15494796005892073
no2_median,0.135173995633772
Gaseous_Index,0.12788313149430708
so2_median,0.06856863453025659
co_median,0.03755346892330941
o3_median,0.005398976405391238
humidity_median,0.00019820071575684813
temperature_median,0.00018495782181174447
wind-speed_median,0.00010623203878328886
PM25_PM10_ratio,9.844733433488066e-05
Thermal_Humidity_Index,8.66522365867132e-05
PM25_Wind_Ratio,7.683142183348887e-05
Month,5.891365777566891e-05
Stagnation_Index,5.1012349021050714e-05
Month_Sin,2.705832147834191e-05
DayOfWeek_Sin,2.6801394142816275e-05
DayOfWeek,2.5484441758422207e-05
Month_Cos,2.0469501437660474e-05
DayOfWeek_Cos,8.961852911036329e-06
Season_Autumn,6.417783688553157e-06
Season_Summer,2.4190754144127467e-06
Season_Winter,2.3461194622817252e-06
Season_Spring,1.5977010624769233e-07
